run_id,plant,line,product,shift,start_datetime,end_datetime,duration_hours,input_weight_kg,expected_yield,actual_yield,yield_pct,avg_brix,grade_a_pct,downtime_minutes,is_organic_run,num_lots_consumed
RUN-000001,Ben Tre New Facility,Line 1,Cocoxim Coconut Water Original 1L,Morning,2025-02-21 06:04:00,2025-02-21 14:29:07,8.42,45294.9,19023.9,15641.3,82.22,6.05,64.55,2,False,189
RUN-000002,Ben Tre New Facility,Line 2,Desiccated Coconut Fine,Afternoon,2025-01-27 14:18:00,2025-01-27 19:58:08,5.67,13468.2,1616.2,1408.6,87.16,5.91,66.67,10,False,51
RUN-000003,Ben Tre New Facility,Line 3,Cocoxim Coconut Oil 500ml,Afternoon,2024-09-18 14:03:00,2024-09-18 20:12:13,6.15,34619.3,1731.0,1374.2,79.39,6.03,57.25,63,False,138
RUN-000004,Ben Tre Main Plant,Line 3,Cocoxim Coconut Cream 400ml,Morning,2026-01-28 06:22:00,2026-01-28 10:47:02,4.42,25680.9,4622.6,3633.4,78.6,5.87,64.81,6,False,108
RUN-000005,Ben Tre Main Plant,Line 3,Cocoxim Coconut Cream 400ml,Afternoon,2024-11-29 14:11:00,2024-11-29 19:26:25,5.26,28226.4,5080.8,4227.6,83.21,6.01,68.64,32,False,118
RUN-000006,Ben Tre Organic Plant,Line 1,Cocoxim Organic Coconut Water 1L,Morning,2024-08-12 06:26:00,2024-08-12 10:37:33,4.19,29514.5,12396.1,10243.0,82.63,6.07,78.46,71,True,130
RUN-000007,Ben Tre Main Plant,Line 3,Cocoxim Coconut Cream 400ml,Night,2025-07-26 22:14:00,2025-07-27 03:05:26,4.86,20285.4,3651.4,3155.7,86.42,5.93,71.76,34,False,85
RUN-000008,Ben Tre New Facility,Line 3,Cocoxim Coconut Oil 500ml,Night,2024-11-04 22:15:00,2024-11-05 02:47:43,4.55,15695.2,784.8,565.2,72.02,6.06,56.45,39,False,62
RUN-000009,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Lychee 330ml,Afternoon,2025-12-09 14:17:00,2025-12-09 23:26:52,9.16,13343.7,5604.4,4989.4,89.03,5.95,76.92,19,False,52
RUN-000010,Ben Tre New Facility,Line 1,Cocoxim Coconut Water Original 1L,Morning,2025-09-04 06:14:00,2025-09-04 10:15:10,4.02,27343.5,11484.3,9767.8,85.05,5.94,65.81,2,False,117
RUN-000011,Ben Tre New Facility,Line 2,Desiccated Coconut Premium,Morning,2025-07-03 06:17:00,2025-07-03 16:00:15,9.72,44421.3,5330.6,4300.4,80.67,6.0,69.19,52,False,185
RUN-000012,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Pink 330ml,Morning,2025-12-13 06:04:00,2025-12-13 14:01:30,7.96,46836.0,19671.1,15625.1,79.43,5.94,62.11,19,False,190
RUN-000013,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Lychee 330ml,Night,2026-05-04 22:11:00,2026-05-05 04:48:42,6.63,43119.5,18110.2,14151.6,78.14,5.99,67.58,10,False,182
RUN-000014,Ben Tre Main Plant,Line 1,Cocoxim Coconut Water Original 330ml,Night,2024-08-27 22:20:00,2024-08-28 02:41:11,4.35,16404.5,6889.9,5225.7,75.85,6.05,62.69,18,False,67
RUN-000015,Ben Tre Organic Plant,Line 1,Cocoxim Organic Coconut Water 1L,Afternoon,2025-02-19 14:25:00,2025-02-19 20:51:32,6.44,17259.6,7249.0,6217.4,85.77,5.97,77.03,13,True,74
RUN-000016,Ben Tre Main Plant,Line 3,Cocoxim Coconut Milk 400ml,Afternoon,2024-08-17 14:23:00,2024-08-17 20:25:08,6.04,20225.7,6067.7,4703.1,77.51,5.97,71.43,3,False,77
RUN-000017,Ben Tre Organic Plant,Line 1,Cocoxim Organic Coconut Water 1L,Morning,2025-12-31 06:01:00,2025-12-31 13:55:46,7.91,47774.1,20065.1,17544.4,87.44,6.03,79.26,13,True,188
RUN-000018,Ben Tre New Facility,Line 1,Cocoxim Coconut Water Original 1L,Morning,2025-07-09 06:12:00,2025-07-09 11:47:28,5.59,39830.5,16728.8,11328.9,67.72,5.93,66.87,134,False,166
RUN-000019,Ben Tre New Facility,Line 2,Desiccated Coconut Premium,Morning,2025-04-15 06:30:00,2025-04-15 10:51:03,4.35,43301.4,5196.2,4352.7,83.77,5.99,67.55,21,False,188
RUN-000020,Ben Tre New Facility,Line 2,Desiccated Coconut Premium,Morning,2025-11-18 06:27:00,2025-11-18 11:33:53,5.11,16590.3,1990.8,1701.1,85.45,5.93,65.67,71,False,67
RUN-000021,Ben Tre New Facility,Line 1,Cocoxim Coconut Water Original 1L,Night,2025-08-19 22:18:00,2025-08-20 05:41:28,7.39,30114.2,12648.0,9463.3,74.82,5.95,73.08,6,False,130
RUN-000022,Ben Tre New Facility,Line 3,Cocoxim Coconut Oil 500ml,Morning,2025-05-05 06:00:00,2025-05-05 12:44:58,6.75,46724.2,2336.2,1822.9,78.03,6.04,67.53,7,False,194
RUN-000023,Ben Tre New Facility,Line 2,Desiccated Coconut Fine,Morning,2025-04-03 06:14:00,2025-04-03 15:14:08,9.0,31216.9,3746.0,3046.5,81.33,6.01,62.2,20,False,127
RUN-000024,Ben Tre Main Plant,Line 1,Cocoxim Coconut Water Original 1L,Morning,2024-10-12 06:23:00,2024-10-12 13:42:09,7.32,29261.5,12289.8,10376.4,84.43,5.98,67.23,5,False,119
RUN-000025,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Lychee 330ml,Morning,2024-08-07 06:20:00,2024-08-07 12:52:29,6.54,29249.8,12284.9,10240.2,83.36,5.93,70.0,33,False,120
RUN-000026,Ben Tre Organic Plant,Line 1,Cocoxim Organic Coconut Water 330ml,Night,2024-09-01 22:28:00,2024-09-02 03:21:39,4.89,15480.7,6501.9,5181.6,79.69,5.94,69.49,167,True,59
RUN-000027,Ben Tre New Facility,Line 1,Cocoxim Coconut Water Original 1L,Night,2025-01-17 22:07:00,2025-01-18 06:07:05,8.0,35501.3,14910.5,12673.4,85.0,5.97,66.43,91,False,140
RUN-000028,Ben Tre New Facility,Line 2,Desiccated Coconut Premium,Afternoon,2024-12-14 14:00:00,2024-12-14 19:04:34,5.08,34542.7,4145.1,3128.1,75.47,6.05,74.81,2,False,135
RUN-000029,Ben Tre New Facility,Line 2,Desiccated Coconut Premium,Afternoon,2025-09-30 14:09:00,2025-09-30 23:04:23,8.92,25623.9,3074.9,2252.8,73.26,6.09,69.44,85,False,108
RUN-000030,Ben Tre New Facility,Line 4,Cocoxim Coconut Milk 1L,Morning,2024-07-14 06:28:00,2024-07-14 16:17:20,9.82,22969.6,6890.9,6006.7,87.17,5.91,72.63,2,False,95
